"name","numberOfGuests","roomType","stars"
"Yuhibuhi Forest Resort- Tree House","2","Private room in resort",
"sigiri lodge bed and breakfast","2","Private room in bed and breakfast","5"
"Kalahe House","8","Entire villa","4.75"
"Gal Oya Lake Club Luxury-Heliconia Tent","2","Tent",
"Ayansa Villa - 3 Bed Apartment Colombo Sri Lanka","8","Entire villa",
"Budget Triple Room/ Lakeside Hotel","3","Private room in guesthouse","4.05"
"Villa Gaetano 03 Bedrooms","6","Private room in bed and breakfast",
"Wadula Safari - Yala (Cottage Number 05)","3","Room in nature lodge","5"
"Kottukal Beach House by Jetwing","2","Private room in villa",
"3-bedroom apartment","7","Private room in condo",
"Bodi's Loft Friends - Colombo","4","Private room in guest suite",
"Joungle Tumeric","4","Private room in home",
"Lovely 2-bedroom holiday home with free parking.","4","Entire vacation home",
"Beachbums Hostel - Shared Dorm","1","Shared room in guesthouse","5"
"Wayside Cottage (Holiday Cottage in Sri Lanka)","4","Entire home",
"Villa Estuary Induruwa Benthota","2","Room in boutique hotel",
"Poomaz Family Villa","6","Entire rental unit",
"Lake Front 3-Bedroom Bungalow in Anuradhapura","7","Entire bungalow","4.47"
"First-Floor Equilibrium #1","2","Private room in casa particular",
"Deluxe Family Room with Free Late Check Out","4","Room in boutique hotel",
"Rest with BLUE ocean GREEN trees","6","Entire home",
"Villa 105B – Tiger Room","2","Private room in guesthouse",
"Experience Sri Lanka taste staying our Homestay","2","Private room in guest suite",
"Kalpitiya Diving Center ,cabana moray.","2","Private room in nature lodge","4"
"Cozy 2 BR Apartment with pool by Ceylon Vacation","4","Entire serviced apartment",
"2 Bedroom Villa","6","Entire home",
"The Pool Room @ Lion's Rest - Weligama.","2","Room in boutique hotel",
"Luxury smart private room in kandy with pool 1F","5","Private room in bed and breakfast","4.67"
"Country House A/C Double Room with Breakfast","2","Private room in bed and breakfast",
"dumi house room3","2","Private room in home","4.54"
"One double room-  1 min. walk  to Beach","2","Private room in home",
"Inspira ella. Best view and big luxury rooms","2","Room in hotel","4.86"
"The Vintage Villa - Knuckles","4","Private room in nature lodge",
"Hangarankanda Bungalow, Deniyaya","12","Entire bungalow","4.25"
"Kingsford Residences Luxury Apartment Nuwara Eliya","6","Entire serviced apartment","4.27"
"Star Sun Home Stay","2","Entire place","4.73"
"Bed in a Shared Dormitory at a Private B&B","1","Shared room in hostel","4.32"
"Single Bed in Shared Room","4","Shared room in nature lodge",
"Couples Getaway with Private Balcony","2","Private room in bungalow","5"
"Wooden Cottage With Balcony","2","Private room in cottage",
"Jungle Book Living in Comfy Tree House in Sigiriya","4","Private room in treehouse","4.81"
"Private Luxury room - 200m from the beach","2","Private room in guesthouse","5"
"Clifton House","4","Entire villa","4.77"
"Garden View - Room Only","2","Room in boutique hotel",
"Sea view beach front deluxe double+Sofa Bedroom","3","Private room in nature lodge","5"
"Whispering Palms Retreat","5","Entire home",
"Anusha Villa","2","Private room in villa","4.86"
"Avenue Nuwara Eliya_Apartment for rent","6","Entire rental unit",
"Negombo Ma Boutique Residence 02","2","Private room in villa","5"
"Hansons Homestay 3 Bedroom Apartment for 7 Guests","7","Entire rental unit","4.86"
"Ground standard room Mirissa","2","Private room in bed and breakfast",
"Standard Villa in Ella","4","Entire guesthouse",
"Budget Room In Galle Fort","2","Private room in villa","4.79"
"Deluxe Triple Room","2","Room in hotel",
"Hikkaduwa Beach House","4","Entire home","4.88"
"Spacious Apartment in Galle with a beautiful view","6","Entire condo","4.92"
"Cozy, Luxury,
full A/C, hot water & 2 bedrooms","4","Entire rental unit","4.83"
"CANDY HOME","2","Entire rental unit","4.54"
"SERVICED LUXURY APRTMNT CITY RESORT All Inclusive","4","Entire rental unit","4.83"
"Private Room in Waterfront Villa","2","Private room in home","5"
"2Bed rooms Apartment in Negombo","4","Entire serviced apartment","4.67"
"A Wooden Hideout in Noah’s Ark","1","Private room in home","4.75"
"Tree House Midigama","2","Treehouse","5"
"Apartment in Colombo 07","5","Entire condo","5"
"Urban Retreat","4","Entire condo","5"
"African Room at Emel's Retreat","2","Private room in vacation home",
"Palm villa Mirissa N°16 double room AC sea view","2","Room in boutique hotel","4.63"
"Dorm Room -Walk to Train with WIFI/HotWat/Locker","1","Room in boutique hotel","4.58"
"The jungle view, room 5","2","Private room in bed and breakfast","5"
"La Vira beachfront 2 bedroom/vacation home/kitchen","5","Entire vacation home","5"
"Condo in Galle","4","Entire condo","4.89"
"Deluxe Treetop Jungle Suite, Pool View","2","Private room in guest suite",
"Great Location - 2BR Apartment, Pool+Gym+Luxuries","4","Entire condo","4.85"
"Mallara RestSafari (Jungle Cabana & Restaurant)","3","Hut",
"Luxury Deer Room","2","Private room in bed and breakfast",
"Abode Ahangama -Room 103","2","Room in boutique hotel","5"
"Cottage Garden Bungalows - Bungalow 1","2","Entire guesthouse","4.81"
"Loving Villa - Kaluaggala","4","Entire home","5"
"Family Suite - AMAZING Surf View","5","Entire guest suite","4.88"
"Outstanding twin room in Colombo 4","2","Private room in home","4.76"
"Akurala villa with pool/spa","4","Entire villa","5"
"Galle Fort Mango House Double Room With Balcony","2","Room in boutique hotel","4.71"
"spacious family room with sea view at Stay Golden","6","Room in hotel",
"The Beach pad","4","Entire rental unit",
"Elegant, Two-bedroom, Shared Apartment","4","Private room in condo","4.75"
"Ginganga Lodge (Na room)","2","Private room in bed and breakfast",
"penthouse room Villakusm.","2","Private room in guesthouse",
"NETS Cowork Jungle Suite 2","2","Room in hotel",
"Tranquil Home in Negombo","6","Entire home",
"Jini House-Paradise beach suite with nice pool 101","2","Private room in bed and breakfast","5"
"Victoria Hideout","2","Private room in nature lodge",
"Butterfly Nest Ella","9","Private room in nature lodge","3.8"
"Bopath View Retreat","14","Entire home","5"
"HIKKA HILL LOFT - Apartments","4","Entire loft","5"
"Villa Sihinanadi  Close to the beach","5","Private room in villa","4.88"
"Safari Serenity: Charming Cottage at Yala's Border","2","Earthen home",
"2BR APT in the heart of colombo","4","Entire condo",
"Villa Sole - Lovely Villa in Kundasale with Pool","11","Entire home",
"Africans Cabanas","2","Entire cabin",
"Charming One Bed Room at Beach & Bliss Mirissa 203","2","Room in hotel","4.71"
"Luxury 3 Bedroom Apartment","6","Entire rental unit",
"Charming One bed Room at Beach & Bliss Mirissa 102","2","Room in hotel",
"EKA Beach,Talpe, Galle, Sri Lanka","9","Private room in bed and breakfast","4.73"
"Suduwella House (The Blue Room)","2","Room in boutique hotel",
"Colonial Residence Kandy Suite Room","2","Private room in home",
"Casa Mira Boutique Villa - Sunset Suite","3","Private room in bed and breakfast","5"
"03 Bedroom Beachfront Apartment","6","Entire rental unit",
"Colive Ahangama Standard Room N7","2","Room in boutique hotel",
"Spacious Private Room near Beach in Trincomalee","2","Room in hotel","4.5"
"Sandy's Villa Hiriketiya Double room with Sea view","2","Private room in guesthouse",
"AMMA Boutique Hotel R/5","2","Room in hotel",
"Elephant Beach- Room","2","Private room in vacation home",
"Ceylon suite Villakusum","2","Private room in guesthouse",
"Room with No View | The Tea Garden","2","Room in bed and breakfast",
"Eco-Cottage Farm Stay close to Tangalle","3","Private room in earthen home","4.7"
"Thamarindha Bungalow","10","Entire bungalow","4.91"
"Villa Hiriketiya - Family Room","5","Private room in villa","4.65"
"Deluxe Room – Sea View with Balcony","2","Private room in bed and breakfast",
"Luxury 3 Bedroom furnished Apartment in Colombo 9","6","Entire condo",
"Traum Villa Bentota - Suite 1","2","Private room in guesthouse",
"Spacious 4BR Family Villa wt Garden Space~Balcony","8","Entire home","4.85"
"Mimoza Mirissa - Double Room with Pool & Balcony","2","Private room in bed and breakfast",
"Luxury four bedroom Villa","8","Entire villa",
"Luxurious & Spacious ~ 5*Location ~ Panoramic View","6","Entire home","4.45"
"Entire apartment","5","Entire rental unit","4.83"
"Ivory Villa with a private Pool and Garden","2","Private room in guest suite","4.75"
"CASAMIA Oceanfront Condo Nilaveli","6","Entire condo","4.52"
"A cozy entire Lagoonfront Apartment with Breakfast","6","Entire villa","5"
"Colonial villa, 15m pool, beach access","10","Entire villa","4.82"
"Seaview Deluxe room Midigama","2","Room in hotel",
"The Oriole Room","2","Room in boutique hotel","5"
"Morena Boutique Hotel. Room Bibiana.","2","Room in boutique hotel","4.25"
"Luxury en-suite room in Colombo 4","2","Private room in bungalow","4.75"
"50 Church Street - Galle Fort / Entire Villa","4","Entire villa","4.86"
"Abode Ahangama - Suite","2","Room in boutique hotel","5"
"Blue Swan Inn - Room 3","3","Room in boutique hotel","4.67"
"Sinharaja Holiday Bungalow","3","Private room in earthen home",
"BK Beach Boutique Hotel Hikkaduwa","2","Room in hotel","5"
"Spacious Luxury Apartment in Relaxing Homey Env","6","Entire condo","4.4"
"Garden Room at Bougainvillea Retreat Kandy","2","Entire home",
"Luxury Apartment at The Heights","5","Entire rental unit","4.75"
"Beachfront Apartment Stay","4","Entire rental unit",
"Range Kandy - Deluxe Room","2","Room in boutique hotel",
"Podi Hoona Luxury Bush Camp","6","Private room in tent",
"British Colonial bungalow","2","Private room in guesthouse",
"Wattala Villa- The Guardian Bungalow","12","Entire villa","4.7"
"Charming room in Boutique Villa with Table Tennis","2","Room in boutique hotel",
"Cozy Villa | 02BR with Pool","4","Private room in home",
"Eagle Nest","4","Entire home",
"Mallika Home Stay","2","Private room in rental unit","4.81"
"Reef Bungalow Villa, 4 bedroom","8","Entire villa","4.57"
"Panoramic Family Treehouse at The Hideout Sigiriya","5","Treehouse","4.89"
"MaSa Beach Front Apartment","5","Entire rental unit","4.88"
"Jasmine house","3","Entire home",
"Swarga Villa ""Misty Heaven"" - Kandy","8","Entire villa","4.83"
"Wild Edge - Panama near Arugam Bay","2","Private room in nature lodge",
"Colombo 03 - Stylish, Modern Apartment (Studio)","2","Entire rental unit","4.7"
"Colombo Retreat 2 Bedrooms","4","Entire condo",
"Royal Apartments","6","Entire home",
"Tea Square","4","Entire chalet","4.4"
"Atara Villa-Weligama | 2 Spacious AC Rooms+Kitchen","4","Entire home",
"starry sky glamping house","4","Entire cabin","5"
"Perfect privet pool","2","Entire home",
"The Castle by Don Louis","2","Room in hotel",
"Tropical Getaway - 1 BR Deluxe Bungalow W/ AC","2","Tiny home",
"The Woods Cottage 2","3","Entire cabin",
"3 bedroom brand-new unit, free parking & rooftop","7","Entire rental unit",
"2 bedroom Apartment, close to the beach.","5","Entire rental unit",
"Platinum One Luxury 3BR Apt","6","Entire rental unit","5"
"Charming 2 B/R private villa on the Madu river","4","Entire home","5"
"Riverbank Resort Double Room","2","Private room in bed and breakfast","4.86"
"The Seascape - Matara - XL - Room 1","2","Room in boutique hotel","5"
"Villa Ananta - 5 Bedrooms with Pool and Jacuzzi","10","Entire villa","4.8"
"Kokum - Bay Villas Balapitiya","2","Room in boutique hotel",
"Deluxe Double Garden - BB Basis & Air Condition","2","Private room in villa","4.84"
"Manril Landhouse Sri Lanka","8","Entire guesthouse",
"Honeymoon Suit","2","Entire place",
"Double Room wit Magnificent View Beragala haputale","2","Private room in villa","4.73"
"Galle luxury apartment with sea view","6","Entire rental unit",
"4 BR Villa Bolgoda lake","8","Entire villa","5"
"The Breeze Luxury Apartment","4","Entire serviced apartment","4.95"
"Two bedroom pool villa with sea view","4","Entire villa",
"fair mountain view cottage","2","Entire cabin",
"Radio Shack - beachfront open space apartment","3","Entire vacation home","4.71"
"Skate in Paradise at Gaia Soul - Orchid Suite","2","Private room in guesthouse",
"Negombo Villa near Beach/Airport - Sleeps 10","10","Entire home","4.82"
"Apartment for rent","5","Entire condo",
"Standard 3 bed Private Ensuite","3","Private room in nature lodge",
"Romance Sky 5","2","Private room in bed and breakfast","4.5"
"Mount view 44","6","Entire condo","5"
"Light House View Inn - Galle Fort","4","Entire home",
"Dream House Residence 04 Rooms","8","Private room in home",
"TROPICAL HOUSE Penthouse","4","Private room in villa",
"Subhasha Summer House-Sea,Nature,Freedom & Relax","6","Entire home","4.93"
"Superior Family Room 203","4","Room in hotel",
"Charming Boutique Hotel Room for 2 - with Pool","2","Room in boutique hotel",
"Private Place with stunning Ocean View","4","Entire guest suite",
"VILLA KANDU Beach Hikkaduwa in Sri Lanka","6","Entire villa","4.8"
"Luxury home away from home","4","Entire rental unit",
"Thalpe Bungalows - Bungalow 3","3","Entire bungalow",
"MangoTree Weligama","12","Entire home",
"Private Beachfront Room in Unawatuna","2","Room in hotel","5"
"Riviera Family Cottage","5","Room in nature lodge","4.8"
"The Chalet- 1 minute walk to the beach - 2 rooms","6","Entire chalet","4.9"
"Relax with a view in Colombo","4","Entire rental unit",
"Aqua Exotica - Pool View Room","2","Room in hotel",
"Luxury 03 Bdr villa with pool","4","Entire home",
"Keith's Residence","8","Entire home","5"
"Zayn villa","6","Entire villa",
"Kalu's Hideaway Udawalawe","5","Private room in nature lodge",
"Skyline Villa 1","6","Entire villa",
"Sandayas Villa (4 Bedroom Villa) Entire Private Place","8","Entire villa","4.43"
"Delux Double Room 106","2","Room in hotel","4.75"
"Luxury 4BR Bungalow Sleeps 8-10","8","Entire villa",
"Talpe House by Elegant Lodge","8","Entire villa",
"Cloud Nine Lanka Resort - Deluxe Double","2","Private room in resort",
"Cabin 7000 feet Nuwara Eliya 1BR","2","Entire cabin",
"La Casa","6","Entire home",
"Monarch residencies","4","Entire rental unit","4.67"
"The Mount Villa","6","Entire bungalow",
"Newly Renovated AC Rooms with Breakfast #x2rooms","4","Private room in bed and breakfast",
"Bentota Holiday Villa","6","Entire rental unit",
"Luxury 3 Bedroom - Entire Apartment","7","Entire condo",
"Yeshin Beach View Villa","6","Entire villa","4.76"
"Luxury Ocean View APT                
 4 beds","6","Entire rental unit",
"Deluxe Double Room with Breakfast","2","Room in boutique hotel",
"Privacy no strict rules Freedom to entertain","2","Entire home","4.56"
"Blue Forest Residency","4","Shared room in condo",
"25 BY THE SEA","2","Entire bungalow","4.74"
"Silver Villa","2","Room in hotel","4.67"
"Dwara BR 1 +Private Bath+Hot Water日本語可","2","Private room in rental unit","4.81"
"Deluxe Room - Luxury Colonial Style Room","2","Room in boutique hotel",
"Rock Cottage - Galle","2","Entire cottage","4.64"
"Lakraj Heritage - Deluxe Double Room- BB","2","Room in hotel","4.62"
"Cinnamon Villa","6","Entire home","5"
"Standard double room","2","Private room in cottage","4.75"
"A 249 Ahangama","3","Entire home",
"Koon Cottage Entire House","9","Entire home","5"
"Shangri-LankaVilla private room is Shangri-La","3","Private room in bed and breakfast",
"One bedroom Apartment - Galle","2","Entire rental unit","4.86"
